index,date,value
0,2024-01-27 08:35:44 UTC,19.0
1,2024-01-27 08:36:13 UTC,18.0
2,2024-01-27 08:36:42 UTC,17.0
3,2024-01-27 08:37:11 UTC,18.0
4,2024-01-27 08:37:40 UTC,16.0
5,2024-01-27 08:38:08 UTC,16.0
6,2024-01-27 08:38:39 UTC,15.0
7,2024-01-27 08:39:08 UTC,19.0
8,2024-01-27 08:39:36 UTC,19.0
9,2024-01-27 08:40:05 UTC,19.0
10,2024-01-27 08:40:34 UTC,18.0
11,2024-01-27 08:41:05 UTC,18.0
12,2024-01-27 08:41:33 UTC,17.0
13,2024-01-27 08:42:03 UTC,17.0
14,2024-01-27 08:42:34 UTC,17.0
15,2024-01-27 08:43:02 UTC,16.0
16,2024-01-27 08:43:31 UTC,18.0
17,2024-01-27 08:44:00 UTC,15.0
18,2024-01-27 08:44:29 UTC,17.0
19,2024-01-27 08:44:58 UTC,17.0
20,2024-01-27 08:45:27 UTC,16.0
21,2024-01-27 08:45:56 UTC,15.0
22,2024-01-27 08:46:24 UTC,16.0
23,2024-01-27 08:46:56 UTC,16.0
24,2024-01-27 08:47:27 UTC,16.0
25,2024-01-27 08:47:55 UTC,17.0
26,2024-01-27 08:48:26 UTC,17.0
27,2024-01-27 08:48:54 UTC,17.0
28,2024-01-27 08:49:22 UTC,18.0
29,2024-01-27 08:49:50 UTC,15.0
30,2024-01-27 08:50:19 UTC,17.0
31,2024-01-27 08:50:48 UTC,16.0
32,2024-01-27 08:51:17 UTC,16.0
33,2024-01-27 08:51:49 UTC,18.0
34,2024-01-27 08:52:19 UTC,17.0
35,2024-01-27 08:52:48 UTC,16.0
36,2024-01-27 08:53:45 UTC,17.0
37,2024-01-27 08:54:13 UTC,15.0
38,2024-01-27 08:54:42 UTC,16.0
39,2024-01-27 08:55:10 UTC,16.0
40,2024-01-27 08:55:39 UTC,17.0
41,2024-01-27 08:56:07 UTC,17.0
42,2024-01-27 08:56:36 UTC,16.0
43,2024-01-27 08:57:06 UTC,17.0
44,2024-01-27 08:57:35 UTC,18.0
45,2024-01-27 08:58:35 UTC,15.0
46,2024-01-27 08:59:03 UTC,16.0
47,2024-01-27 08:59:32 UTC,16.0
48,2024-01-27 09:00:00 UTC,16.0
49,2024-01-27 09:00:32 UTC,15.0
50,2024-01-27 09:01:35 UTC,16.0
51,2024-01-27 09:02:05 UTC,15.0
52,2024-01-27 09:02:33 UTC,16.0
53,2024-01-27 09:03:02 UTC,16.0
54,2024-01-27 09:03:32 UTC,16.0
55,2024-01-27 09:05:01 UTC,16.0
56,2024-01-27 09:05:32 UTC,16.0
57,2024-01-27 09:06:01 UTC,17.0
58,2024-01-27 09:06:29 UTC,16.0
59,2024-01-27 09:07:29 UTC,15.0
