index,date,value
0,2024-01-27 08:35:44 UTC,83.03
1,2024-01-27 08:36:13 UTC,100.14
2,2024-01-27 08:36:42 UTC,111.69
3,2024-01-27 08:37:11 UTC,117.7
4,2024-01-27 08:37:40 UTC,116.64
5,2024-01-27 08:38:08 UTC,116.64
6,2024-01-27 08:38:39 UTC,115.52
7,2024-01-27 08:39:08 UTC,112.23
8,2024-01-27 08:39:36 UTC,111.69
9,2024-01-27 08:40:05 UTC,107.95
10,2024-01-27 08:40:34 UTC,106.89
11,2024-01-27 08:41:05 UTC,105.34
12,2024-01-27 08:41:33 UTC,104.27
13,2024-01-27 08:42:03 UTC,104.78
14,2024-01-27 08:42:34 UTC,102.72
15,2024-01-27 08:43:02 UTC,100.64
16,2024-01-27 08:43:31 UTC,99.63
17,2024-01-27 08:44:00 UTC,98.64
18,2024-01-27 08:44:29 UTC,98.64
19,2024-01-27 08:44:58 UTC,98.13
20,2024-01-27 08:45:27 UTC,97.11
21,2024-01-27 08:45:56 UTC,96.58
22,2024-01-27 08:46:24 UTC,97.11
23,2024-01-27 08:46:56 UTC,97.11
24,2024-01-27 08:47:27 UTC,97.11
25,2024-01-27 08:47:55 UTC,97.11
26,2024-01-27 08:48:26 UTC,96.58
27,2024-01-27 08:48:54 UTC,96.09
28,2024-01-27 08:49:22 UTC,97.11
29,2024-01-27 08:49:50 UTC,95.11
30,2024-01-27 08:50:19 UTC,97.11
31,2024-01-27 08:50:48 UTC,96.58
32,2024-01-27 08:51:17 UTC,96.58
33,2024-01-27 08:51:49 UTC,97.63
34,2024-01-27 08:52:19 UTC,99.14
35,2024-01-27 08:52:48 UTC,97.11
36,2024-01-27 08:53:17 UTC,98.13
37,2024-01-27 08:53:45 UTC,99.63
38,2024-01-27 08:54:13 UTC,97.63
39,2024-01-27 08:54:42 UTC,97.63
40,2024-01-27 08:55:10 UTC,98.64
41,2024-01-27 08:55:39 UTC,99.14
42,2024-01-27 08:56:07 UTC,99.63
43,2024-01-27 08:56:36 UTC,99.14
44,2024-01-27 08:57:06 UTC,99.63
45,2024-01-27 08:57:35 UTC,101.17
46,2024-01-27 08:58:06 UTC,99.14
47,2024-01-27 08:58:35 UTC,100.14
48,2024-01-27 08:59:03 UTC,101.17
49,2024-01-27 08:59:32 UTC,100.14
50,2024-01-27 09:00:00 UTC,100.64
51,2024-01-27 09:00:32 UTC,100.14
52,2024-01-27 09:01:03 UTC,100.64
53,2024-01-27 09:01:35 UTC,101.17
54,2024-01-27 09:02:05 UTC,103.25
55,2024-01-27 09:02:33 UTC,101.72
56,2024-01-27 09:03:02 UTC,101.72
57,2024-01-27 09:03:32 UTC,101.17
58,2024-01-27 09:04:03 UTC,102.2
59,2024-01-27 09:04:32 UTC,101.17
